transaction_id,customer_id,cust_email,transaction_type,quantity,price,discount,currency,status,payment_method,failure_code,transaction_date,created_at,refunded,refund_amount,description
txn_e5ab8a42-aff5-44de-b293-d2e6ff63e142,cus_ec2d1950-f8e8-4cb5-969d-19c6418a3519,hung.do82968@gmail.com,subscription_payment_new,1,9.99,0.0,USD,Failed,Credit Card,Card Decline,2025-01-12 19:02:00,2025-01-12 19:02:00,,,Payment failed for Standard Monthly (attempt 1)
txn_00566ba7-f170-4f7d-b73f-584068b26e94,cus_48d6b7ce-4305-4b45-b86a-486011edf9b0,huy.bui59332@gmail.com ,subscription_payment_new,1,9.99,0.0,$,Failed,Credit Card,Card Decline,2025-01-15 09:44:00,2025-01-15 09:44:00,,,Payment failed for Standard Monthly (attempt 1)
txn_7edc5d97-f6d2-485b-8dfa-a08c5026a10d,cus_d8f3b9fa-d28a-4edf-b4b0-d1097ebb9961,tran.duc32970@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-15 12:04:00,2025-01-15 12:04:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_6991cc64-179e-4e92-b83d-c8cd07711f53,cus_332c1f56-2cb1-4236-b309-9ac16aff4774,vu_dung45771@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-15 12:08:00,2025-01-15 12:08:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_323dc84d-80cc-4314-a222-a9c6e73f836c,cus_3fa7622f-5066-4d94-8ea0-5d04dd327426,phuong_nguyen94699@gmail.com,subscription_payment_new,1,4.99,0.0,USD,succeeded,Apple Pay,,2025-01-15 14:47:00,2025-01-15 14:47:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_f2d155ef-a7ae-49ab-bd00-304a74672578,cus_74533527-6af5-4594-9a8c-07d0b798f92f,thao.le60284@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Apple Pay,,2025-01-15 18:48:00,2025-01-15 18:48:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_562f78b2-fe65-4fcd-a523-d9bac8fc7650,cus_48d6b7ce-4305-4b45-b86a-486011edf9b0,huy.bui59332@gmail.com,subscription_payment_new,1,9.99,0.0,USD,Succeeded,Paypal,,2025-01-16 09:44:00,2025-01-16 09:44:00,,,Payment for Standard Monthly (subscription_payment_new)
txn_2589919b-4a89-428a-9d64-c5e65719be1c,cus_68332825-b62a-4f7b-b918-ce8b71b1c5b0,tran_dung47450@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Bank Transfer,,2025-01-16 10:17:00,2025-01-16 10:17:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_59d11c9a-f167-4e13-a51c-2504cf6dfbb0,cus_1562b042-c5ef-4f7a-b61a-7b1f198540ae,phan_quan58128@gmail.com,subscription_payment_new,1,4.99,0.0,usd,Failed,Credit Card,Invalid card details,2025-01-16 16:18:00,2025-01-16 16:18:00,,,Payment failed for Basic Monthly (attempt 1)
txn_b899e930-e48e-4e2c-a968-5b6e9f557835,cus_0d293f59-5f8a-4a1b-934c-423a4aa647ae,bui_linh67595@gmail.com,subscription_payment_new,12,14.99,0.5,USD,Succeeded,Credit Card,,2025-01-17 10:18:00,2025-01-17 10:18:00,,,"Payment for Premium Annual (annual, 50% discount) (subscription_payment_new)"
txn_c4b89b6b-8dd9-47aa-8ca2-8f0a0fb62783,cus_9f61c2bb-f990-4479-b1c6-964b2297a6aa,phuong_vu56671@gmail.com,subscription_payment_new,1,14.99,0.0,USD,Succeeded,Google Pay,,2025-01-18 13:26:00,2025-01-18 13:26:00,,,Payment for Premium Monthly (subscription_payment_new)
txn_09e2d70e-2c96-4cae-b607-895ee1832a48,cus_91b929a1-5b1d-430d-82a2-f728338b8546,dang.tuan19096@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Paypal,,2025-01-18 21:16:00,2025-01-18 21:16:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_1b840379-23dd-4a96-bf17-e0a006abe25b,cus_10e1ca95-443f-4c9d-8d5f-4b775983acf5,dung_phan40681@gmail.com,subscription_payment_new,12,4.99,0.3,USD,Succeeded,Debit Card,,2025-01-19 12:51:00,2025-01-19 12:51:00,,,"Payment for Basic Annual (annual, 30% discount) (subscription_payment_new)"
txn_56e37cad-edd9-4127-8d90-54d8eeea4b1b,cus_1562b042-c5ef-4f7a-b61a-7b1f198540ae,phan_quan58128@gmail.com,subscription_payment_new,1,4.99,0.0,USD,failed,Credit Card,Card Decline,2025-01-19 16:18:00,2025-01-19 16:18:00,,,Payment failed for Basic Monthly (attempt 2)
txn_1141536a-4da8-448b-9c54-815135e742a6,cus_f97aa0cf-19e0-4338-8eee-e96a113e6bfe,pham.quynh97796@gmail.com ,subscription_payment_new,1,14.99,0.0,USD,Succeeded,Debit Card,,2025-01-19 17:12:00,2025-01-19 17:12:00,,,Payment for Premium Monthly (subscription_payment_new)
txn_02ff138c-9dca-4e65-b076-645e561e027f,cus_734419b3-b88e-46d4-a247-38c459b84cde,minh_dang37047@gmail.com,subscription_payment_new,12,4.99,0.2,USD,Succeeded,Credit Card,,2025-01-19 20:33:00,2025-01-19 20:33:00,,,"Payment for Basic Annual (annual, 20% discount) (subscription_payment_new)"
txn_a7f94010-9ad3-4be0-92c9-7c9d5f4595ea,cus_a340ae15-4b58-4685-a4d0-623be1e06e3a,vy_phan43701@gmail.com,subscription_payment_new,12,4.99,0.2,USD,Succeeded,Credit Card,,2025-01-20 20:55:00,2025-01-20 20:55:00,,,"Payment for Basic Annual (annual, 20% discount) (subscription_payment_new)"
txn_d51537d8-e5f1-4d28-bb31-b91e8c1a00f9,cus_b9fdaad6-6a2c-4c3d-a391-c0423f8c8992,khoa.bui74662@gmail.com,NaN,1,9.99,0.0,USD,Failed,Debit Card,Do not honor,2025-01-20 21:00:00,2025-01-20 21:00:00,,,Payment failed for Standard Monthly (attempt 1)
txn_7494e8cc-d6a6-4738-b082-e3ab73ed6d2a,cus_4939c2f5-6f88-49b3-9382-5143fa330026,minh.pham93873@gmail.com,subscription_payment_new,1,14.99,0.0,USD,SUCCEEDED,Apple Pay,,2025-01-20 22:48:00,2025-01-20 22:48:00,,,Payment for Premium Monthly (subscription_payment_new)
txn_52b63759-7682-4443-a9e2-ed3856cdc73a,cus_36add5df-403a-4aab-8295-1f269cbb4323,dang_hung60546@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-21 15:23:00,2025-01-21 15:23:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_f25fdca9-9370-4d82-ba10-7ba4fd7f9cd3,cus_f0b45cb9-bab5-41d3-9139-78c453046ef5,quan_phan50576@gmail.com,subscription_payment_new,12,4.99,0.5,USD,SUCCEEDED,Credit Card,,2025-01-21 21:51:00,2025-01-21 21:51:00,,,"Payment for Basic Annual (annual, 50% discount) (subscription_payment_new)"
txn_13d2fbd8-77ed-4876-b17a-b84f537df517,cus_9a6e4a39-c3c4-4118-8bb5-9d217237201e,vu_duc14810@gmail.com,subscription_payment_new,12,14.99,0.4,USD,Succeeded,Debit Card,,2025-01-22 12:46:00,2025-01-22 12:46:00,,,"Payment for Premium Annual (annual, 40% discount) (subscription_payment_new)"
txn_d905ea4c-d976-4d96-ba78-fc8cf4d2b512,cus_363ff748-09c3-420b-8bf4-5ad2ef626246,nguyen_anh96044@gmail.com,subscription_payment_new,12,4.99,0.3,USD,Succeeded,Credit Card,,2025-01-22 17:12:00,2025-01-22 17:12:00,,,"Payment for Basic Annual (annual, 30% discount) (subscription_payment_new)"
txn_40fe913d-5464-4ff0-be64-fe4a0aa59728,cus_3b7e818a-ce32-4d30-928b-e37a0007eaab,TRAN_DUNG45062@GMAIL.COM,subscription_payment_new,1,14.99,0.0,USD,Succeeded,Credit Card,,2025-01-22 21:25:00,2025-01-22 21:25:00,,,Payment for Premium Monthly (subscription_payment_new)
re_aee007c1-b933-4d3c-9fd9-3211c045bc0d,cus_d8f3b9fa-d28a-4edf-b4b0-d1097ebb9961,tran.duc32970@gmail.com,refund,1,4.99,0.0,USD,Refunded,Credit Card,,2025-01-23 12:04:00,2025-01-23 12:04:00,True,4.99,Refund (4.99 USD): Payment for Basic Monthly (subscription_payment_new)
txn_0ab33702-2ec7-4ce9-bd60-3596204cf06f,cus_62181744-d5dd-4870-b70c-8b8bb2a0ddbf,pham.vy60767@gmail.com,subscription_payment_new,12,4.99,0.5,USD,Succeeded,Debit Card,,2025-01-23 13:13:00,2025-01-23 13:13:00,,,"Payment for Basic Annual (annual, 50% discount) (subscription_payment_new)"
txn_2e37c334-bb0f-4b57-88d0-f5b430420530,cus_e2b60de5-3aa5-4cba-8b46-3e795db5b9ae,le_phong32215@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-23 14:30:00,2025-01-23 14:30:00,,,Payment for Basic Monthly (subscription_payment_new)
re_eee9d620-d84a-4d20-8409-79da5041914c,cus_715d5f10-e2e2-4736-b8b2-af3434ba9ebe,quynh_bui44073@gmail.com, refund ,12,4.99,0.5,USD,Refunded,Debit Card,,2025-01-23 15:32:00,2025-01-23 15:32:00,True,27.45,"Refund (27.45 USD): Payment for Basic Annual (annual, 50% discount) (subscription_payment_new)"
txn_1aa132f2-ee9b-42da-bf95-085236cb4d1a,cus_0e6ec287-60c6-4acc-9a17-3161f9946e67,dang.phong78920@gmail.com, subscription_payment_new ,1,14.99,0.0,USD,Succeeded,Apple Pay,,2025-01-23 17:45:00,2025-01-23 17:45:00,,,Payment for Premium Monthly (subscription_payment_new)
txn_791c3083-db19-45c5-aee6-e8a20be8611f,cus_0752a428-daf2-4a39-a663-f9a0508e3db1,do_quynh88332@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Failed,Credit Card,Expired card,2025-01-24 13:55:00,2025-01-24 13:55:00,,,Payment failed for Basic Monthly (attempt 1)
txn_297d671b-a3ad-4d20-be7d-7df6cda50004,cus_a7e45de6-3eea-4818-a260-6fbc65cbcf55,quynh_do74209_at_gmail.com,subscription_payment_new,12,4.99,0.3,USD,Succeeded,Credit Card,,2025-01-24 14:04:00,2025-01-24 14:04:00,,,"Payment for Basic Annual (annual, 30% discount) (subscription_payment_new)"
re_2201208e-c1d4-4d6c-ad82-be96f019d17a,cus_3fa7622f-5066-4d94-8ea0-5d04dd327426,phuong_nguyen94699@gmail.com,refund,1,4.99,0.0,USD,Refunded,Apple Pay,,2025-01-24 14:47:00,2025-01-24 14:47:00,True,4.99,Refund (4.99 USD): Payment for Basic Monthly (subscription_payment_new)
txn_876f7ef5-628d-427d-b15b-ae36fda6fe2b,cus_7d7a5ad9-ffee-4315-a91b-a2e307f98a64,phong.pham99423@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-25 15:51:00,2025-01-25 15:51:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_560aabd4-fe27-4737-86b4-a5e0510e4386,cus_e1632c5c-5e35-40d9-97d9-a81a7162e2c1,tran_ngan40916@gmail.com,subscription_payment_new,1,19.99,0.0,us dollars,Succeeded,Credit Card,,2025-01-26 12:10:00,2025-01-26 12:10:00,,,Payment for Ultimate Monthly (subscription_payment_new)
txn_61c458df-c6b8-48c8-afce-993f597d5414,cus_0752a428-daf2-4a39-a663-f9a0508e3db1,do_quynh88332@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Failed,Credit Card,Card Decline,2025-01-26 13:55:00,2025-01-26 13:55:00,,,Payment failed for Basic Monthly (attempt 2)
txn_727779c7-7aeb-441e-8a6f-05160b6be05e,cus_2a882f23-98ab-48b4-81bd-a38e72bbda08,duc.le61068@gmail.com,subscription_payment_new,1,4.99,0.0,us dollars,Succeeded,Bank Transfer,,2025-01-26 15:23:00,2025-01-26 15:23:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_69c9c682-7d33-46a8-be0a-513ff65b2eed,cus_ec2d1950-f8e8-4cb5-969d-19c6418a3519,hung.do82968@gmail.com,subscription_payment_new,12,4.99,0.2,USD,Succeeded,Debit Card,,2025-01-26 19:02:00,2025-01-26 19:02:00,,,"Payment for Basic Annual (annual, 20% discount) (subscription_payment_new)"
txn_13fe2ad3-1122-43d0-8868-e6df524a7888,cus_a68d008d-2e39-49bc-8562-a67cd22ebcb0,phong_phan83372@gmail.com,subscription_payment_new,12,9.99,0.2,USD,faiLed,Google Pay,Card Decline,2025-01-27 10:36:00,2025-01-27 10:36:00,,,Payment failed for Standard Annual (attempt 1)
txn_2a8a950d-aa34-4b51-94ab-1876c9a13db3,cus_0752a428-daf2-4a39-a663-f9a0508e3db1,do_quynh88332@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-27 13:55:00,2025-01-27 13:55:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_b21f84d9-17d1-4d14-947f-0b42da31636e,cus_1562b042-c5ef-4f7a-b61a-7b1f198540ae,phan_quan58128@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-27 16:18:00,2025-01-27 16:18:00,,,Payment for Basic Monthly (subscription_payment_new)
re_d446d294-715d-4a1b-9f3a-16d939c4c320,cus_f97aa0cf-19e0-4338-8eee-e96a113e6bfe,pham.quynh97796@gmail.com,refund,1,14.99,0.0,USD,Refunded,Debit Card,,2025-01-27 17:12:00,2025-01-27 17:12:00,True,14.99,Refund (14.99 USD): Payment for Premium Monthly (subscription_payment_new)
re_50162229-8983-41cc-b8eb-834f6790d091,cus_f23790d2-9be7-4ba1-883e-e3bf9eda5326,dang_phuong80009@gmail.com,refund,12,14.99,0.4,USD,Refunded,Credit Card,,2025-01-28 13:52:00,2025-01-28 13:52:00,True,98.93,"Refund (98.93 USD): Payment for Premium Annual (annual, 40% discount) (subscription_payment_new)"
txn_88aeca79-c4f2-4b2a-b1ae-533de6a2e5ee,cus_f8a0fbeb-d510-48bb-92a6-e01fe7108494,huy.pham76907@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Bank Transfer,,2025-01-28 17:48:00,2025-01-28 17:48:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_f27df238-9634-40f8-8a7b-d67c8e302db0,cus_f51432e8-81f4-4977-8dec-a7bff704ab0b,HUONG_NGUYEN90339@GMAIL.COM,subscription_payment_new,12,4.99,0.4,USD,Succeeded,Credit Card,,2025-01-28 20:30:00,2025-01-28 20:30:00,,,"Payment for Basic Annual (annual, 40% discount) (subscription_payment_new)"
txn_828ed1b2-4409-4481-81b5-26ec336977cc,cus_b9fdaad6-6a2c-4c3d-a391-c0423f8c8992,khoa.bui74662@gmail.com, subscription_payment_new ,1,4.99,0.0,Usd,Succeeded,Credit Card,,2025-01-29 21:00:00,2025-01-29 21:00:00,,,Payment for Basic Monthly (subscription_payment_new)
re_0828ec64-5c06-4674-8aeb-3140fd0fe642,cus_4939c2f5-6f88-49b3-9382-5143fa330026,minh.pham93873@gmail.com,refund,1,14.99,0.0,$,Refunded,Apple Pay,,2025-01-29 22:48:00,2025-01-29 22:48:00,True,14.99,Refund (14.99 USD): Payment for Premium Monthly (subscription_payment_new)
txn_a0cd3942-c82a-4207-ad73-100eaecf7c20,cus_f5e44701-883f-4de2-a9dc-4eaf31b24f0b,vu.hung35339@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-01-30 08:05:00,2025-01-30 08:05:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_4f20b925-d9f8-431f-8702-06c45198487a,cus_a68d008d-2e39-49bc-8562-a67cd22ebcb0,phong_phan83372@gmail.com,subscription_payment_new,12,9.99,0.2,USD,Failed,Google Pay,Card Decline,2025-01-30 10:36:00,2025-01-30 10:36:00,,,Payment failed for Standard Annual (attempt 2)
txn_9b2d15e3-0bd5-4fe6-8657-b5a6965d3af0,cus_ffbb1d32-0a84-4983-bee3-102a72817c86,quan_phan33684@gmail.com,subscription_payment_new,1,9.99,0.0,USD,Failed,Debit Card,Card Decline,2025-01-30 12:00:00,2025-01-30 12:00:00,,,Payment failed for Standard Monthly (attempt 1)
txn_c81ca08c-8be0-4530-b025-8e484e12d870,cus_fc3b4ff6-4b61-4e05-ad01-1f3ecc7501a2,lan_pham30161@gmail.com,subscription_payment_new,1,14.99,0.0,USD,Succeeded,Apple Pay,,2025-01-30 14:04:00,2025-01-30 14:04:00,,,Payment for Premium Monthly (subscription_payment_new)
txn_fdc4e5ef-8b50-4c21-8ca3-edc145892c6d,cus_0ca6673d-62bc-4b67-942f-c5acc3428e13,lan_tran96360@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Apple Pay,,2025-01-30 15:27:00,2025-01-30 15:27:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_848c5df7-c95e-45d7-a915-c88f88b19a3b,cus_e3d1bc66-c2a3-48c1-abee-2c113d781e7e,anh.pham60631@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Debit Card,,2025-01-30 16:52:00,2025-01-30 16:52:00,,,Payment for Basic Monthly (subscription_payment_new)
re_743fccd6-62fc-4755-b77a-56c6f130b666,cus_0e6ec287-60c6-4acc-9a17-3161f9946e67, dang.phong78920@gmail.com,refund,1,14.99,0.0,USD,Refunded,Apple Pay,,2025-01-30 17:45:00,2025-01-30 17:45:00,True,14.99,Refund (14.99 USD): Payment for Premium Monthly (subscription_payment_new)
txn_06835813-227b-48d3-932b-5b6b3ca2eff7,cus_f8cd77a7-25f0-4faa-9b01-b4b032c9f0c4,tran.phuong14114@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Apple Pay,,2025-01-30 20:52:00,2025-01-30 20:52:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_714b8260-8186-4c85-9a20-27ec8a5cc334,cus_ba501d8c-f40c-4fcc-a0df-38b5e144482e,vu.lan92099@gmail.com,subscription_payment_new,12,9.99,0.2,USD,SUCCEEDED,Credit Card,,2025-01-31 13:16:00,2025-01-31 13:16:00,,,"Payment for Standard Annual (annual, 20% discount) (subscription_payment_new)"
txn_eff8528a-dd26-4898-a379-3313e2104254,cus_4247c9f4-6ce0-41c6-ae6b-7e020e237a75,vu.tuan83602@gmail.com,subscription_payment_new,1,19.99,0.0,USD,Succeeded,Credit Card,,2025-01-31 13:40:00,2025-01-31 13:40:00,,,Payment for Ultimate Monthly (subscription_payment_new)
txn_75a0d0a3-6fb9-4b87-b092-717bbd33d2fe,cus_effebc77-7b3c-47c4-a1e8-01b7bb295871, do.vy98847@gmail.com,subscription_payment_new,1,9.99,0.0,USD,Succeeded,Credit Card,,2025-01-31 14:54:00,2025-01-31 14:54:00,,,Payment for Standard Monthly (subscription_payment_new)
txn_096c59e9-0a45-4bf4-97c7-950fd701e209,cus_f5dbe8f2-31b7-4e23-bdd4-a61c34a59ec4,dang.huong18312@gmail.com,subscription_payment_new,1,9.99,0.0,USD,Succeeded,Google Pay,,2025-01-31 15:04:00,2025-01-31 15:04:00,,,Payment for Standard Monthly (subscription_payment_new)
txn_4e369f9d-c4d3-4389-9665-aa579a86e063,cus_55bebde9-3731-4916-8129-e41f793a8a71,duc.pham89324@gmail.com,subscription_payment_new,1,14.99,0.0,USD,Succeeded,Credit Card,,2025-01-31 15:19:00,2025-01-31 15:19:00,,,Payment for Premium Monthly (subscription_payment_new)
txn_913a68f8-456a-4e63-b308-89f50452d5d2,cus_71205591-74af-4f83-97d8-4ac16d77d725,duc.do34077@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Debit Card,,2025-01-31 16:00:00,2025-01-31 16:00:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_8f5cce3b-315f-45a6-9fc5-c02ef22e4b29,cus_b9fdaad6-6a2c-4c3d-a391-c0423f8c8992,khoa.bui74662@gmail.com,subscription_payment_new,1,4.99,0.0,$,Failed,Paypal,Do not honor,2025-01-31 21:00:00,2025-01-31 21:00:00,,,Paypal payment failed for Basic Monthly
txn_bd3b9920-4e15-4a6b-9427-4301f7b7e06a,cus_2f09eea5-c92d-4834-9050-399fa4a45a49,nguyen_nam26140@gmail.com,subscription_payment_new,12,9.99,0.5,USD,Succeeded,Credit Card,,2025-02-01 13:26:00,2025-02-01 13:26:00,,,"Payment for Standard Annual (annual, 50% discount) (subscription_payment_new)"
txn_c305c872-bb38-4a3d-b5c7-d5bf7a707291,cus_4059c0d6-6818-41e3-9c12-4518291958f0,tran_lan24636@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-02-01 14:50:00,2025-02-01 14:50:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_b62d9594-d67c-448e-8e89-35fed3aeb75e,cus_3406a57e-9d5c-48a5-92ab-601eb1c7f5ad,pham.phuong81258@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Debit Card,,2025-02-01 15:08:00,2025-02-01 15:08:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_0e065b42-b179-4493-befb-2d5654442262,cus_33e40a68-f9a8-49b3-83c9-d1f95050cc6f,phan.anh57951@gmail.com,subscription_payment_new,1,19.99,0.0,USD,Succeeded,Credit Card,,2025-02-01 19:54:00,2025-02-01 19:54:00,,,Payment for Ultimate Monthly (subscription_payment_new)
txn_ff0a7da7-cf06-455e-b126-828fb51c4fa4,cus_d52ebe2d-c2f2-4235-b68f-afc4994e5747,tuan_dang46762@gmail.com,subscription_payment_new,1,4.99,0.0,USD,succeeded,Credit Card,,2025-02-01 20:43:00,2025-02-01 20:43:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_6a2f2ddf-b2e4-48a8-8dd7-058fe376b72a,cus_a2806490-85a9-4b24-98ae-e8b271f37b27, linh_nguyen35919@gmail.com,subscription_payment_new,12,19.99,0.5,USD,succeeded,Debit Card,,2025-02-01 21:51:00,2025-02-01 21:51:00,,,"Payment for Ultimate Annual (annual, 50% discount) (subscription_payment_new)"
txn_33431f24-7b5e-4b83-951d-6ae64c6563c4,cus_03a6136d-05bc-4bb2-b0ed-1afe6040334b,linh_pham15685@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Failed,Credit Card,Invalid card details,2025-02-01 22:30:00,2025-02-01 22:30:00,,,Payment failed for Basic Monthly (attempt 1)
txn_77d5ed1b-fadb-4742-bdec-dab2500f77a1,cus_a0cc47bc-44a1-4b85-914b-b0c5b01bad56,phong_le87552@gmail.com,subscription_payment_new,1,4.99,0.0,USD,Succeeded,Credit Card,,2025-02-01 22:37:00,2025-02-01 22:37:00,,,Payment for Basic Monthly (subscription_payment_new)
txn_9a805ff7-c428-4f96-978a-f6d8693f93cf,cus_f5d6828c-2afc-43eb-aeaf-6f0c94b1502e,pham_anh72054@gmail.com,subscription_payment_new,12,4.99,0.2,USD,Succeeded,Credit Card,,2025-02-02 12:18:00,2025-02-02 12:18:00,,,"Payment for Basic Annual (annual, 20% discount) (subscription_payment_new)"
txn_2f3f1efc-921d-454f-a5dc-67a6935cf63a,cus_0beba90e-0d43-4622-8c51-da584e133a97,dang_khoa11715@gmail.com,subscription_payment_new,12,9.99,0.5,USD,Succeeded,Apple Pay,,2025-02-02 13:35:00,2025-02-02 13:35:00,,,"Payment for Standard Annual (annual, 50% discount) (subscription_payment_new)"
