subscription_id,transaction_id,customer_id,customer_email,plan_name,billing_cycle,status,current_period_start,current_period_end,created,canceled_at,churn_reason,valid_from,valid_to,is_current
sub_2e86ab05-c023-4231-8a32-6319fb7180f4,txn_186ccbe7-b7dc-4d24-9167-a8618655f259,cus_a0388fa5-d550-4985-9970-c7fdf4df1cca,vy_tran53444@gmail.com,Basic,Monthly,Active,2025-01-12 10:47:00,2025-02-12 10:47:00,2025-01-12 10:47:00,,,2025-01-12 10:47:00,2025-02-02 10:47:00,False
sub_4d269f30-b7ab-41b7-be20-9d04ecec0867,txn_7edc5d97-f6d2-485b-8dfa-a08c5026a10d,cus_d8f3b9fa-d28a-4edf-b4b0-d1097ebb9961,tran.duc32970@gmail.com,Basic,Monthly,ACTIVE,2025-01-15 12:04:00,2025-02-15 12:04:00,2025-01-15 12:04:00,,,2025-01-15 12:04:00,2025-01-21 12:04:00,False
sub_bf483ed7-bfc9-4c57-96dd-2fe0be773c31,txn_6991cc64-179e-4e92-b83d-c8cd07711f53,cus_332c1f56-2cb1-4236-b309-9ac16aff4774,vu_dung45771@gmail.com,Basic,Monthly,Active,2025-01-15 12:08:00,2025-02-15 12:08:00,2025-01-15 12:08:00,,,2025-01-15 12:08:00,2025-02-09 12:08:00,False
sub_2e16e4f8-26a4-4fac-9dc0-e577e6920645,txn_323dc84d-80cc-4314-a222-a9c6e73f836c,cus_3fa7622f-5066-4d94-8ea0-5d04dd327426,phuong_nguyen94699@gmail.com,Basic,Monthly,Active,2025-01-15 14:47:00,2025-02-15 14:47:00,2025-01-15 14:47:00,,,2025-01-15 14:47:00,2025-01-20 14:47:00,False
sub_276a5c73-be68-4cf2-af8a-9f4c410e9339,txn_f2d155ef-a7ae-49ab-bd00-304a74672578,cus_74533527-6af5-4594-9a8c-07d0b798f92f,thao.le60284@gmail.com,Basic,Monthly,Active,2025-01-15 18:48:00,2025-02-15 18:48:00,2025-01-15 18:48:00,,,2025-01-15 18:48:00,2025-01-24 18:48:00,False
sub_eea1397f-abf6-4381-8c8c-6b54fcbc5e7b,txn_562f78b2-fe65-4fcd-a523-d9bac8fc7650,cus_48d6b7ce-4305-4b45-b86a-486011edf9b0,huy.bui59332@gmail.com,Standard,Monthly,Active,2025-01-16 09:44:00,2025-02-16 09:44:00,2025-01-16 09:44:00,,,2025-01-16 09:44:00,2025-02-06 09:44:00,False
sub_fa6261cc-9e72-4a30-80b0-2429c6b6cc5f,txn_2589919b-4a89-428a-9d64-c5e65719be1c,cus_68332825-b62a-4f7b-b918-ce8b71b1c5b0,tran_dung47450@gmail.com,Basic,Monthly,Active,2025-01-16 10:17:00,2025-02-16 10:17:00,2025-01-16 10:17:00,,,2025-01-16 10:17:00,2025-02-16 10:17:00,False
sub_c82d6d9c-af81-4958-abcb-23f1dd1d40a7,txn_b899e930-e48e-4e2c-a968-5b6e9f557835,cus_0d293f59-5f8a-4a1b-934c-423a4aa647ae, bui_linh67595@gmail.com,Premium,Annual,Active,2025-01-17 10:18:00,2026-01-17 10:18:00,2025-01-17 10:18:00,,,2025-01-17 10:18:00,2025-04-02 10:18:00,False
sub_d5907808-27ac-417f-940d-77bb990442b3,txn_c4b89b6b-8dd9-47aa-8ca2-8f0a0fb62783,cus_9f61c2bb-f990-4479-b1c6-964b2297a6aa,phuong_vu56671@gmail.com,Premium,Monthly,Active,2025-01-18 13:26:00,2025-02-18 13:26:00,2025-01-18 13:26:00,,,2025-01-18 13:26:00,2025-02-11 13:26:00,False
sub_36ec79c7-d5a2-4295-a46a-dc5437acd109,txn_09e2d70e-2c96-4cae-b607-895ee1832a48,cus_91b929a1-5b1d-430d-82a2-f728338b8546,dang.tuan19096@gmail.com,Basic,Monthly,Active,2025-01-18 21:16:00,2025-02-18 21:16:00,2025-01-18 21:16:00,,,2025-01-18 21:16:00,2025-01-27 21:16:00,False
sub_808f6abe-abce-44ab-80d4-9841b9cdd285,txn_1b840379-23dd-4a96-bf17-e0a006abe25b,cus_10e1ca95-443f-4c9d-8d5f-4b775983acf5,dung_phan40681@gmail.com,Basic,Annual,Active,2025-01-19 12:51:00,2026-01-19 12:51:00,2025-01-19 12:51:00,,,2025-01-19 12:51:00,2025-03-29 12:51:00,False
sub_033665c6-e13f-49a0-ac20-81c2551e7873,txn_1141536a-4da8-448b-9c54-815135e742a6,cus_f97aa0cf-19e0-4338-8eee-e96a113e6bfe,pham.quynh97796@gmail.com,Premium,Monthly,Active,2025-01-19 17:12:00,2025-02-19 17:12:00,2025-01-19 17:12:00,,,2025-01-19 17:12:00,2025-01-22 17:12:00,False
sub_57067b5f-cef1-4676-9170-efbf1d2f9ce9,txn_02ff138c-9dca-4e65-b076-645e561e027f,cus_734419b3-b88e-46d4-a247-38c459b84cde,minh_dang37047@gmail.com ,Basic,Annual,Active,2025-01-19 20:33:00,2026-01-19 20:33:00,2025-01-19 20:33:00,,,2025-01-19 20:33:00,,True
sub_2e16e4f8-26a4-4fac-9dc0-e577e6920645,,cus_3fa7622f-5066-4d94-8ea0-5d04dd327426,phuong_nguyen94699@gmail.com,Basic,Monthly,Canceled,2025-01-15 14:47:00,2025-02-15 14:47:00,2025-01-20 14:47:00,2025-01-20 14:47:00,Not using it,2025-01-20 14:47:00,,True
sub_9daf5ba1-b52d-46e8-bcab-0c3935e1b39f,txn_a7f94010-9ad3-4be0-92c9-7c9d5f4595ea,cus_a340ae15-4b58-4685-a4d0-623be1e06e3a, vy_phan43701@gmail.com,Basic,Annual,Active,2025-01-20 20:55:00,2026-01-20 20:55:00,2025-01-20 20:55:00,,,2025-01-20 20:55:00,,True
sub_db880813-9db7-4785-af87-292c4271595f,txn_7494e8cc-d6a6-4738-b082-e3ab73ed6d2a,cus_4939c2f5-6f88-49b3-9382-5143fa330026,minh.pham93873@gmail.com,Premium,Monthly,aCtive,2025-01-20 22:48:00,2025-02-20 22:48:00,2025-01-20 22:48:00,,,2025-01-20 22:48:00,2025-01-25 22:48:00,False
sub_01c3895b-9cf5-45e1-8d39-5ce93858554a,,cus_f0d8866e-7aeb-4749-8a08-5520f5542c76,duc_bui88829@gmail.com,Basic,Monthly,Canceled,2025-01-06 09:14:00,2025-02-06 09:14:00,2025-01-21 09:14:00,2025-01-21 09:14:00,Bad support,2025-01-21 09:14:00,,True
sub_4d269f30-b7ab-41b7-be20-9d04ecec0867,,cus_d8f3b9fa-d28a-4edf-b4b0-d1097ebb9961,tran.duc32970@gmail.com,Basic,Monthly,Canceled,2025-01-15 12:04:00,2025-02-15 12:04:00,2025-01-21 12:04:00,2025-01-21 12:04:00,Too expensive,2025-01-21 12:04:00,,True
sub_68d29b10-7109-48a0-905c-cc9f195fecf2,txn_52b63759-7682-4443-a9e2-ed3856cdc73a,cus_36add5df-403a-4aab-8295-1f269cbb4323,dang_hung60546@gmail.com,NA,Monthly,Active,2025-01-21 15:23:00,2025-02-21 15:23:00,2025-01-21 15:23:00,,,2025-01-21 15:23:00,2025-02-09 15:23:00,False
sub_243c2d7e-06bf-4201-9c6d-4dd4c81de691,,cus_715d5f10-e2e2-4736-b8b2-af3434ba9ebe,quynh_bui44073@gmail.com,Basic,Annual,canceLed,2025-01-10 15:32:00,2026-01-10 15:32:00,2025-01-21 15:32:00,2025-01-21 15:32:00,Found alternative,2025-01-21 15:32:00,,True
sub_5e6a6d3a-a34e-4eb5-afd3-5d6a771d2ad5,txn_f25fdca9-9370-4d82-ba10-7ba4fd7f9cd3,cus_f0b45cb9-bab5-41d3-9139-78c453046ef5,quan_phan50576@gmail.com,Basic,Annual,Active,2025-01-21 21:51:00,2026-01-21 21:51:00,2025-01-21 21:51:00,,,2025-01-21 21:51:00,2025-02-24 21:51:00,False
sub_dbe0bd70-b75f-4fde-98bd-75a951452a42,txn_13d2fbd8-77ed-4876-b17a-b84f537df517,cus_9a6e4a39-c3c4-4118-8bb5-9d217237201e,vu_duc14810@gmail.com,Premium,Annual,Active,2025-01-22 12:46:00,2026-01-22 12:46:00,2025-01-22 12:46:00,,,2025-01-22 12:46:00,2025-03-10 12:46:00,False
sub_be12d9ef-d6d5-41ab-9702-657618434953,txn_d905ea4c-d976-4d96-ba78-fc8cf4d2b512,cus_363ff748-09c3-420b-8bf4-5ad2ef626246,nguyen_anh96044@gmail.com,Basic,Annual,Active,2025-01-22 17:12:00,2026-01-22 17:12:00,2025-01-22 17:12:00,,,2025-01-22 17:12:00,2025-03-01 17:12:00,False
sub_033665c6-e13f-49a0-ac20-81c2551e7873,,cus_f97aa0cf-19e0-4338-8eee-e96a113e6bfe, pham.quynh97796@gmail.com,Premium,Monthly,Canceled,2025-01-19 17:12:00,2025-02-19 17:12:00,2025-01-22 17:12:00,2025-01-22 17:12:00,Too expensive,2025-01-22 17:12:00,,True
sub_6ebbca78-21aa-44c3-88d5-b932379cf0ca,txn_40fe913d-5464-4ff0-be64-fe4a0aa59728,cus_3b7e818a-ce32-4d30-928b-e37a0007eaab,tran_dung45062@gmail.com,Premium,Monthly,Active,2025-01-22 21:25:00,2025-02-22 21:25:00,2025-01-22 21:25:00,,,2025-01-22 21:25:00,2025-02-16 21:25:00,False
sub_7a586f39-294a-4309-9499-9c17d53d1b13,txn_0ab33702-2ec7-4ce9-bd60-3596204cf06f,cus_62181744-d5dd-4870-b70c-8b8bb2a0ddbf,pham.vy60767@gmail.com,Basic,Annual,Active,2025-01-23 13:13:00,2026-01-23 13:13:00,2025-01-23 13:13:00,,,2025-01-23 13:13:00,2025-02-06 13:13:00,False
sub_7d8b9444-1b03-477a-9068-72f440dd1906,txn_2e37c334-bb0f-4b57-88d0-f5b430420530,cus_e2b60de5-3aa5-4cba-8b46-3e795db5b9ae,le_phong32215@gmail.com,Basic,Monthly,Active,2025-01-23 14:30:00,2025-02-23 14:30:00,2025-01-23 14:30:00,,,2025-01-23 14:30:00,2025-02-23 14:30:00,False
sub_98316196-997f-422f-aee5-eed547d250dd,txn_1aa132f2-ee9b-42da-bf95-085236cb4d1a,cus_0e6ec287-60c6-4acc-9a17-3161f9946e67,dang.phong78920@gmail.com,Premium,Monthly,Active,2025-01-23 17:45:00,2025-02-23 17:45:00,2025-01-23 17:45:00,,,2025-01-23 17:45:00,2025-01-26 17:45:00,False
sub_6643cfd9-21de-4e6d-bd4f-3bbf48921e07,txn_297d671b-a3ad-4d20-be7d-7df6cda50004,cus_a7e45de6-3eea-4818-a260-6fbc65cbcf55,quynh_do74209@gmail.com,Basic,Annual,Active,2025-01-24 14:04:00,2026-01-24 14:04:00,2025-01-24 14:04:00,,,2025-01-24 14:04:00,,True
sub_276a5c73-be68-4cf2-af8a-9f4c410e9339,,cus_74533527-6af5-4594-9a8c-07d0b798f92f,thao.le60284@gmail.com,Basic,Monthly,Canceled,2025-01-15 18:48:00,2025-02-15 18:48:00,2025-01-24 18:48:00,2025-01-24 18:48:00,Bad support,2025-01-24 18:48:00,,True
sub_5d9358b2-671b-4fbe-99f8-303ed581141c,txn_876f7ef5-628d-427d-b15b-ae36fda6fe2b,cus_7d7a5ad9-ffee-4315-a91b-a2e307f98a64,phong.pham99423@gmail.com ,Basic,Monthly,Active,2025-01-25 15:51:00,2025-02-25 15:51:00,2025-01-25 15:51:00,,,2025-01-25 15:51:00,2025-02-12 15:51:00,False
sub_db880813-9db7-4785-af87-292c4271595f,,cus_4939c2f5-6f88-49b3-9382-5143fa330026,minh.pham93873@gmail.com,Premium,Monthly,Canceled,2025-01-20 22:48:00,2025-02-20 22:48:00,2025-01-25 22:48:00,2025-01-25 22:48:00,Found alternative,2025-01-25 22:48:00,,True
sub_61553855-e6be-4dde-b951-a919ec9efbcb,txn_560aabd4-fe27-4737-86b4-a5e0510e4386,cus_e1632c5c-5e35-40d9-97d9-a81a7162e2c1,tran_ngan40916@gmail.com,Ultimate,Monthly,aCtive,2025-01-26 12:10:00,2025-02-26 12:10:00,2025-01-26 12:10:00,,,2025-01-26 12:10:00,2025-02-07 12:10:00,False
sub_9b9ce366-9243-4d01-b8c1-96454f43ddaf,,cus_f23790d2-9be7-4ba1-883e-e3bf9eda5326,dang_phuong80009@gmail.com,Premium,Annual,Canceled,2025-01-11 13:52:00,2026-01-11 13:52:00,2025-01-26 13:52:00,2025-01-26 13:52:00,Found alternative,2025-01-26 13:52:00,,True
sub_62467b9f-0dcc-419d-9324-e20619809965,txn_727779c7-7aeb-441e-8a6f-05160b6be05e,cus_2a882f23-98ab-48b4-81bd-a38e72bbda08,duc.le61068@gmail.com,Basic,Monthly,Active,2025-01-26 15:23:00,2025-02-26 15:23:00,2025-01-26 15:23:00,,,2025-01-26 15:23:00,2025-02-14 15:23:00,False
sub_98316196-997f-422f-aee5-eed547d250dd,,cus_0e6ec287-60c6-4acc-9a17-3161f9946e67,dang.phong78920@gmail.com,Premium,Monthly,Canceled,2025-01-23 17:45:00,2025-02-23 17:45:00,2025-01-26 17:45:00,2025-01-26 17:45:00,Not using it,2025-01-26 17:45:00,,True
sub_917ead2b-9667-4d18-aab9-24e99e1a96cf,txn_69c9c682-7d33-46a8-be0a-513ff65b2eed,cus_ec2d1950-f8e8-4cb5-969d-19c6418a3519,HUNG.DO82968@GMAIL.COM,Basic,Annual,Active,2025-01-26 19:02:00,2026-01-26 19:02:00,2025-01-26 19:02:00,,,2025-01-26 19:02:00,2025-04-23 19:02:00,False
sub_0a075980-408f-4928-9e05-afe40b8e97fc,txn_2a8a950d-aa34-4b51-94ab-1876c9a13db3,cus_0752a428-daf2-4a39-a663-f9a0508e3db1,do_quynh88332@gmail.com,Basic,Monthly,active,2025-01-27 13:55:00,2025-02-27 13:55:00,2025-01-27 13:55:00,,,2025-01-27 13:55:00,2025-02-09 13:55:00,False
sub_57d7b9d7-7cde-4ff0-949b-4529db0e2cdd,txn_b21f84d9-17d1-4d14-947f-0b42da31636e,cus_1562b042-c5ef-4f7a-b61a-7b1f198540ae,phan_quan58128@gmail.com,Basic,Monthly,Active,2025-01-27 16:18:00,2025-02-27 16:18:00,2025-01-27 16:18:00,,,2025-01-27 16:18:00,2025-02-04 16:18:00,False
sub_36ec79c7-d5a2-4295-a46a-dc5437acd109,,cus_91b929a1-5b1d-430d-82a2-f728338b8546,dang.tuan19096@gmail.com,Basic,Monthly,canceLed,2025-01-18 21:16:00,2025-02-18 21:16:00,2025-01-27 21:16:00,2025-01-27 21:16:00,Too expensive,2025-01-27 21:16:00,,True
sub_cfc7184c-787b-4df6-b98c-9428f1752060,,cus_c5d6575b-2768-4ae3-93e1-df643ce66d87,vu_lan62455@gmail.com,Basic,NULL,Canceled,2025-01-09 14:40:00,2025-02-09 14:40:00,2025-01-28 14:40:00,2025-01-28 14:40:00,Found alternative,2025-01-28 14:40:00,,True
sub_9197171b-5eb1-4593-acf8-493c08a2687d,txn_88aeca79-c4f2-4b2a-b1ae-533de6a2e5ee,cus_f8a0fbeb-d510-48bb-92a6-e01fe7108494,huy.pham76907@gmail.com,Basic,Monthly,Active,2025-01-28 17:48:00,2025-02-28 17:48:00,2025-01-28 17:48:00,,,2025-01-28 17:48:00,2025-02-28 17:48:00,False
sub_b5ba9cbc-77c2-473c-a83c-0ac482122551,txn_f27df238-9634-40f8-8a7b-d67c8e302db0,cus_f51432e8-81f4-4977-8dec-a7bff704ab0b,huong_nguyen90339@gmail.com,Basic,Annual,Active,2025-01-28 20:30:00,2026-01-28 20:30:00,2025-01-28 20:30:00,,,2025-01-28 20:30:00,2025-03-10 20:30:00,False
sub_1b612437-179e-45ea-86d0-a4faa86ece90,txn_828ed1b2-4409-4481-81b5-26ec336977cc,cus_b9fdaad6-6a2c-4c3d-a391-c0423f8c8992,khoa.bui74662@gmail.com ,Basic,Monthly,Active,2025-01-29 21:00:00,2025-02-28 21:00:00,2025-01-29 21:00:00,,,2025-01-29 21:00:00,2025-02-19 21:00:00,False
sub_26f5680a-7b20-4509-abba-8b72a0381947,txn_a0cd3942-c82a-4207-ad73-100eaecf7c20,cus_f5e44701-883f-4de2-a9dc-4eaf31b24f0b,VU.HUNG35339@GMAIL.COM,Basic,Monthly,Active,2025-01-30 08:05:00,2025-02-28 08:05:00,2025-01-30 08:05:00,,,2025-01-30 08:05:00,2025-02-14 08:05:00,False
sub_1a2b4728-6828-43a3-a023-bcca38150072,txn_c81ca08c-8be0-4530-b025-8e484e12d870,cus_fc3b4ff6-4b61-4e05-ad01-1f3ecc7501a2,LAN_PHAM30161@GMAIL.COM,Premium,NA,Active,2025-01-30 14:04:00,2025-02-28 14:04:00,2025-01-30 14:04:00,,,2025-01-30 14:04:00,2025-02-15 14:04:00,False
sub_cb189869-d647-415b-9098-6a8e119b7aef,txn_fdc4e5ef-8b50-4c21-8ca3-edc145892c6d,cus_0ca6673d-62bc-4b67-942f-c5acc3428e13,LAN_TRAN96360@GMAIL.COM,Basic,MONTHLY,Active,2025-01-30 15:27:00,2025-02-28 15:27:00,2025-01-30 15:27:00,,,2025-01-30 15:27:00,2025-02-21 15:27:00,False
sub_a85df193-e58a-4ba3-8b9a-0a86f284d1fa,txn_848c5df7-c95e-45d7-a915-c88f88b19a3b,cus_e3d1bc66-c2a3-48c1-abee-2c113d781e7e,anh.pham60631@gmail.com,Basic,Monthly,Active,2025-01-30 16:52:00,2025-02-28 16:52:00,2025-01-30 16:52:00,,,2025-01-30 16:52:00,2025-02-28 16:52:00,False
sub_7333aa16-fbaf-4fa6-bd8c-3a622192c3cd,txn_06835813-227b-48d3-932b-5b6b3ca2eff7,cus_f8cd77a7-25f0-4faa-9b01-b4b032c9f0c4, tran.phuong14114@gmail.com,Basic,Monthly,Active,2025-01-30 20:52:00,2025-02-28 20:52:00,2025-01-30 20:52:00,,,2025-01-30 20:52:00,2025-02-23 20:52:00,False
sub_bec03342-efbd-4a6c-8cc2-19c95b1ed100,txn_714b8260-8186-4c85-9a20-27ec8a5cc334,cus_ba501d8c-f40c-4fcc-a0df-38b5e144482e,vu.lan92099@gmail.com,Standard,Annual,Active,2025-01-31 13:16:00,2026-01-31 13:16:00,2025-01-31 13:16:00,,,2025-01-31 13:16:00,2025-03-13 13:16:00,False
sub_05580547-e8f8-4f67-a57c-2590b0391907,txn_eff8528a-dd26-4898-a379-3313e2104254,cus_4247c9f4-6ce0-41c6-ae6b-7e020e237a75,vu.tuan83602@gmail.com,Ultimate,Monthly,ACTIVE,2025-01-31 13:40:00,2025-02-28 13:40:00,2025-01-31 13:40:00,,,2025-01-31 13:40:00,2025-02-04 13:40:00,False
sub_278a26b6-1dbc-4486-bc27-3dde24910cac,txn_75a0d0a3-6fb9-4b87-b092-717bbd33d2fe,cus_effebc77-7b3c-47c4-a1e8-01b7bb295871,do.vy98847_at_gmail.com,Standard,Monthly,Active,2025-01-31 14:54:00,2025-02-28 14:54:00,2025-01-31 14:54:00,,,2025-01-31 14:54:00,2025-02-24 14:54:00,False
sub_afa24fb7-ed4b-423d-a17a-13ace4a3a628,txn_096c59e9-0a45-4bf4-97c7-950fd701e209,cus_f5dbe8f2-31b7-4e23-bdd4-a61c34a59ec4,dang.huong18312@gmail.com,Standard,Monthly,Active,2025-01-31 15:04:00,2025-02-28 15:04:00,2025-01-31 15:04:00,,,2025-01-31 15:04:00,2025-02-28 15:04:00,False
sub_e929a3f8-829d-4352-a03c-ace36aae94df,txn_4e369f9d-c4d3-4389-9665-aa579a86e063,cus_55bebde9-3731-4916-8129-e41f793a8a71,duc.pham89324@gmail.com,Premium,Monthly,Active,2025-01-31 15:19:00,2025-02-28 15:19:00,2025-01-31 15:19:00,,,2025-01-31 15:19:00,2025-02-28 15:19:00,False
sub_f92481e6-e30c-413d-b150-1c726605fa2a,txn_913a68f8-456a-4e63-b308-89f50452d5d2,cus_71205591-74af-4f83-97d8-4ac16d77d725,duc.do34077@gmail.com,Basic,Monthly,Active,2025-01-31 16:00:00,2025-02-28 16:00:00,2025-01-31 16:00:00,,,2025-01-31 16:00:00,2025-02-03 16:00:00,False
sub_4560dd5c-6153-4163-881d-242d7abdf8b0,txn_bd3b9920-4e15-4a6b-9427-4301f7b7e06a,cus_2f09eea5-c92d-4834-9050-399fa4a45a49,nguyen_nam26140@gmail.com,Standard,Annual,active,2025-02-01 13:26:00,2026-02-01 13:26:00,2025-02-01 13:26:00,,,2025-02-01 13:26:00,2025-02-28 13:26:00,False
sub_72c73fb5-c39d-4f86-a0a3-f4f62d598622,txn_c305c872-bb38-4a3d-b5c7-d5bf7a707291,cus_4059c0d6-6818-41e3-9c12-4518291958f0,tran_lan24636@gmail.com,Basic,Monthly,Active,2025-02-01 14:50:00,2025-03-01 14:50:00,2025-02-01 14:50:00,,,2025-02-01 14:50:00,2025-02-07 14:50:00,False
sub_747ea0ab-46c3-42ce-99e3-d1005057b3e4,txn_b62d9594-d67c-448e-8e89-35fed3aeb75e,cus_3406a57e-9d5c-48a5-92ab-601eb1c7f5ad,pham.phuong81258@gmail.com,Basic,Monthly,Active,2025-02-01 15:08:00,2025-03-01 15:08:00,2025-02-01 15:08:00,,,2025-02-01 15:08:00,2025-02-08 15:08:00,False
sub_2193376e-115f-4eac-9ce9-fb53c7f5a2d5,txn_0e065b42-b179-4493-befb-2d5654442262,cus_33e40a68-f9a8-49b3-83c9-d1f95050cc6f,phan.anh57951@gmail.com,Ultimate,Monthly,Active,2025-02-01 19:54:00,2025-03-01 19:54:00,2025-02-01 19:54:00,,,2025-02-01 19:54:00,2025-02-06 19:54:00,False
sub_dda4a258-1acd-4906-8af5-80b8e732c0c7,txn_ff0a7da7-cf06-455e-b126-828fb51c4fa4,cus_d52ebe2d-c2f2-4235-b68f-afc4994e5747,tuan_dang46762@gmail.com,Basic,Monthly,Active,2025-02-01 20:43:00,2025-03-01 20:43:00,2025-02-01 20:43:00,,,2025-02-01 20:43:00,2025-02-25 20:43:00,False
sub_1e2d0899-8ebb-4053-bbe6-b205efecee5e,txn_6a2f2ddf-b2e4-48a8-8dd7-058fe376b72a,cus_a2806490-85a9-4b24-98ae-e8b271f37b27,linh_nguyen35919@gmail.com,Ultimate,Annual,aCtive,2025-02-01 21:51:00,2026-02-01 21:51:00,2025-02-01 21:51:00,,,2025-02-01 21:51:00,2025-04-26 21:51:00,False
sub_35c1aff0-c150-4135-be45-d6fefebcc1a9,txn_77d5ed1b-fadb-4742-bdec-dab2500f77a1,cus_a0cc47bc-44a1-4b85-914b-b0c5b01bad56,phong_le87552@gmail.com,Basic,Monthly,Active,2025-02-01 22:37:00,2025-03-01 22:37:00,2025-02-01 22:37:00,,,2025-02-01 22:37:00,2025-03-01 22:37:00,False
sub_2e86ab05-c023-4231-8a32-6319fb7180f4,,cus_a0388fa5-d550-4985-9970-c7fdf4df1cca,vy_tran53444@gmail.com,Basic,Monthly,Canceled,2025-01-12 10:47:00,2025-02-12 10:47:00,2025-02-02 10:47:00,2025-02-02 10:47:00,Technical issues,2025-02-02 10:47:00,,True
sub_816c1c95-f6db-490d-8206-7f97ca58bce5,txn_9a805ff7-c428-4f96-978a-f6d8693f93cf,cus_f5d6828c-2afc-43eb-aeaf-6f0c94b1502e,pham_anh72054@gmail.com,Basic,Annual,Active,2025-02-02 12:18:00,2026-02-02 12:18:00,2025-02-02 12:18:00,,,2025-02-02 12:18:00,,True
sub_62ba28a7-c0aa-40c1-aa9b-f4764db17fd4,txn_2f3f1efc-921d-454f-a5dc-67a6935cf63a,cus_0beba90e-0d43-4622-8c51-da584e133a97,dang_khoa11715@gmail.com,Standard,Annual,Active,2025-02-02 13:35:00,2026-02-02 13:35:00,2025-02-02 13:35:00,,,2025-02-02 13:35:00,2025-03-23 13:35:00,False
sub_8a33aa09-91b1-4728-9e50-e0bc738b659e,txn_a3e75baa-975c-4d89-bd74-2f7dacba10fa,cus_8744845e-4765-42e0-887a-c77855b66152,phan.khoa15013@gmail.com,Basic,Annual,Active,2025-02-02 21:21:00,2026-02-02 21:21:00,2025-02-02 21:21:00,,,2025-02-02 21:21:00,2025-04-28 21:21:00,False
