ticket_id,requester_email,requester_name,ticket_type,subject,description,priority,status,channel,created_at,first_response_at,solved_at,updated_at,first_reply_time,full_resolution_time,satisfaction_rating
ticket_8e2638b7-865e-4978-b311-617ba7ee09c1,phuong.tran24999@gmail.com,Phương Trần,Login & Authentication,Cannot reset password - no email received,Tried reset password but no email arrived in inbox or spam.,Low,Closed,Chat,2025-02-11 07:12:55,2025-02-11 22:17:55,2025-02-11 23:17:55,2025-02-11 23:17:55,15.08,16.05,3.0
ticket_1ab739c4-b038-4023-a510-7ac7e40311ad,TUAN_NGUYEN72790@GMAIL.COM,Tuấn Nguyễn,Integration Errors,Apple Health not connecting,Tried connecting Google Calendar but fails with error 403.,Urgent,Closed,Chat,2025-02-11 19:14:43,2025-02-12 05:49:07,2025-02-14 05:36:31,2025-02-14 05:36:31,10.24,57.93,3.0
ticket_97e8d7f0-a08c-4301-9a79-5bc35b355c62,vy_phan43701@gmail.com,Vy Phan,Integration Errors,Strava import error,Strava activities not showing up in the app.,High,Solved,social_media,2025-02-14 07:22:48,2025-02-15 07:51:12,2025-02-16 16:05:36,2025-02-16 16:05:36,24.04,55.83,
ticket_06deb6bb-d905-495f-8086-017a0abb29e0,phuong_phan65144@gmail.com,Phương Phan,Login & Authentication,Cannot reset password - no email received,Tried reset password but no email arrived in inbox or spam.,Low,Open,Email,2025-02-14 10:00:37,,,2025-02-14 21:00:37,,,
ticket_0f488296-6bf2-4064-b501-83a372b1900e,pham.nam60075@gmail.com ,Nam Phạm,Device / Compatibility,Dark mode text unreadable,App force closes immediately on my iPhone with iOS 19.,High,New,Web,2025-02-14 15:12:57,2025-02-14 23:12:57,,2025-02-17 05:12:57,8.0,,
ticket_b2cc36cb-6d0f-4207-87fc-d962ebf4f0b1,nam_pham18861@gmail.com,Nam Phạm,Billing & Payment Issues,Double charge this cycle,Want to cancel and get partial refund for unused period.,Urgent,Closed,Web,2025-02-15 19:39:23,2025-02-15 21:29:47,2025-02-16 02:10:11,2025-02-16 02:10:11,1.04,6.13,4.0
ticket_bb6a74ce-e551-4d8d-aa9d-6176cf01d521,anh.pham42010@gmail.com ,Anh Phạm,Integration Errors,Google Calendar sync failed,Apple Health data not syncing after granting permission.,Normal,Solved,Chat,2025-02-20 12:26:45,2025-02-20 22:05:21,2025-02-21 14:29:33,2025-02-21 14:29:33,8.71,25.18,2.0
ticket_7bf06865-d4d9-45bd-8685-a5c0e7773a96,ngan_le21359@gmail.com,Ngân Lê,Feature Usage Help,How to enable daily reminders?,How do I download all my workout history as CSV?,High,Solved,Chat,2025-02-20 17:31:23,2025-02-21 02:52:59,2025-02-21 05:58:11,2025-02-21 05:58:11,8.71,12.08,2.0
ticket_06b5264b-99ff-411e-9c35-2869b8d6cdb3,le_quynh77837@gmail.com,Quỳnh Lê,Feedback / Complaint,Content quality dropped recently,The interface looks old compared to other apps.,Urgent,Closed,social_media,2025-02-21 16:10:33,2025-02-21 18:34:09,2025-02-22 20:56:33,2025-02-22 20:56:33,2.36,28.55,1.0
ticket_628b6c2a-52ac-4dae-b81f-e24ff6589ab8,nguyen_quan22568_at_gmail.com,Quân Nguyễn,Device / Compatibility,Incompatible with Android 15,Dark mode makes text hard to read on Pixel phone.,Low,Closed,Email,2025-02-22 15:06:34,2025-02-23 01:07:05,2025-02-23 19:11:10,2025-02-23 19:11:10,9.76,27.86,2.0
ticket_9f3f9f25-0adf-4c56-8446-53287ac95598,huong_le44328@gmail.com,Hương Lê,Performance / Speed,Video buffering forever,App crashes every time I open a long workout session.,High,Solved,Email,2025-02-23 20:17:08,2025-02-24 20:44:31,2025-02-25 13:04:32,2025-02-25 13:04:32,24.41,39.89,3.0
ticket_c3452524-90cf-4642-ba31-607b2075bd80, dang_phong44402@gmail.com,Phong Đặng,Billing & Payment Issues,Request refund for last month,I got charged $9.99 but still see free tier limits. Please fix and refund.,Low,Closed,Web,2025-02-23 20:38:50,2025-02-23 22:49:02,2025-02-24 01:58:38,2025-02-24 01:58:38,1.27,4.48,4.0
ticket_6565ace1-44e4-4bc0-bc23-814bae88e1ec,ho_tuan13851@gmail.com,Tuấn Hồ,Billing & Payment Issues,Payment failed but money deducted,Money was taken but subscription status not updated. Order ID attached.,Normal,Solved,Email,2025-02-24 12:40:21,2025-02-24 15:30:37,2025-02-24 22:55:33,2025-02-24 22:55:33,2.39,10.07,4.0
ticket_d4f3608b-cc4c-4ce3-897e-7d9b5bdcff53,quynh_ho68278@gmail.com,Quỳnh Hồ,Device / Compatibility,Not working on Galaxy S23,App force closes immediately on my iPhone with iOS 19.,Low,Closed,Chat,2025-02-25 23:11:11,2025-02-26 00:41:23,2025-02-26 03:41:11,2025-02-26 03:41:11,0.57,3.9,
ticket_28a8c52f-a98b-4362-8f99-5785a0ebf8a7,huy.tran50189@gmail.com,Huy Trần,Feedback / Complaint,Content quality dropped recently,The interface looks old compared to other apps.,Normal,Solved,Email,2025-02-26 17:17:24,2025-02-27 04:17:05,2025-02-27 07:55:48,2025-02-27 07:55:48,10.43,13.99,2.0
ticket_3130ca20-39fb-4914-ab2e-df668edb8362,quan_tran84678@gmail.com,Quân Trần,Feature Usage Help,How to enable daily reminders?,Please tell me how to turn on daily push notifications.,Low,Closed,social_media,2025-02-28 08:53:28,2025-02-28 12:02:04,2025-02-28 21:13:16,2025-02-28 21:13:16,2.31,12.28,3.0
ticket_03f53b84-5a2d-44e7-867a-31d5ea061bec,vu.nam62807@gmail.com,Nam Vũ,Feedback / Complaint,Support reply too slow,The interface looks old compared to other apps.,High,Closed,Web,2025-03-02 19:25:49,2025-03-03 08:40:49,2025-03-03 22:47:13,2025-03-03 22:47:13,12.35,26.99,3.0
ticket_b137a55c-5771-49b0-b7e2-2caf9b0733a8,tuan_nguyen72790@gmail.com,Tuấn Nguyễn,Feedback / Complaint,Content quality dropped recently,The interface looks old compared to other apps.,Normal,Solved,Web,2025-03-04 08:47:06,2025-03-06 15:45:54,2025-03-06 17:06:54,2025-03-06 17:06:54,54.93,55.43,3.0
ticket_972bab18-9bbe-4cb4-a11e-368541064847,PHAN.KHOA15013@GMAIL.COM,Khoa Phan,Integration Errors,API timeout every time,Strava activities not showing up in the app.,Normal,Closed,social_media,2025-03-05 23:07:47,2025-03-06 00:16:11,2025-03-08 10:27:11,2025-03-08 10:27:11,1.04,59.24,1.0
ticket_41aad75e-61d9-44f1-8612-22749716fa8c, minh_vu10890@gmail.com,Minh Vũ,Feature Usage Help,Where is my progress tracker?,How do I download all my workout history as CSV?,Normal,Closed,Chat,2025-03-06 02:09:27,2025-03-06 04:58:27,2025-03-06 07:20:03,2025-03-06 07:20:03,2.4,4.86,
ticket_197e4b81-5c4c-4f03-a2bb-3966fc3643d0, tran.duc95463@gmail.com,Đức Trần,Performance / Speed,Frequent crashes on Android,Videos keep buffering even on fast internet.,Low,Solved,Web,2025-03-06 12:51:09,2025-03-06 15:35:21,2025-03-06 20:53:57,2025-03-06 20:53:57,2.17,7.38,2.0
ticket_fb01d857-d231-4d02-ad4e-72f5364e8cb7,QUAN_DO54258@GMAIL.COM,Quân Đỗ,Feedback / Complaint,Missing dark mode,"Ads appear too frequently in free plan, very annoying.",Urgent,Closed,Chat,2025-03-06 22:28:37,2025-03-06 23:34:49,2025-03-07 10:12:37,2025-03-07 10:12:37,0.52,10.85,3.0
ticket_c55e5d15-71a0-4c11-9e3d-55abe32a0445,thao.nguyen96516@gmail.com,Thảo Nguyễn,Billing & Payment Issues,Payment failed but money deducted,I got charged $9.99 but still see free tier limits. Please fix and refund.,Normal,Solved,social_media,2025-03-08 09:04:19,2025-03-08 11:49:07,2025-03-08 17:15:19,2025-03-08 17:15:19,2.03,8.0,2.0
ticket_3a26a8da-f796-4993-88fe-99e2e77a1b94,dang.linh66466@gmail.com,Linh Đặng,Billing & Payment Issues,Double charge this cycle,Saw double charge on statement this month.,Urgent,Solved,Chat,2025-03-08 10:05:11,2025-03-09 15:45:35,2025-03-09 16:27:35,2025-03-09 16:27:35,29.44,29.94,3.0
ticket_1f95fa92-c41c-48b3-a1b5-a15b321cfd61,vu.phuc86341@gmail.com,Phúc Vũ,Feature Usage Help,Where is my progress tracker?,Please tell me how to turn on daily push notifications.,High,Solved,Email,2025-03-08 12:01:58,2025-03-08 18:20:45,2025-03-09 02:20:58,2025-03-09 02:20:58,6.18,13.85,4.0
ticket_69103f4b-31be-472b-845a-4b597d976c62,nhi.do79748@gmail.com,Nhi Đỗ,Feedback / Complaint,Content quality dropped recently,"Ads appear too frequently in free plan, very annoying.",High,Open,Email,2025-03-09 18:54:50,,,2025-03-09 20:54:50,,,
ticket_3a3fd807-cb59-433c-ace8-d8096e47348a,lan_pham30161@gmail.com,Lan Phạm,Performance / Speed,Sync takes minutes,Videos keep buffering even on fast internet.,High,New,social_media,2025-03-10 21:26:25,2025-03-11 05:26:25,,2025-03-13 00:26:25,8.0,,
ticket_401059f3-0344-4738-b2a2-7164721f31a9,ngan_tran33068@gmail.com,Ngân Trần,Feedback / Complaint,Content quality dropped recently,The interface looks old compared to other apps.,Normal,Closed,social_media,2025-03-12 01:07:47,2025-03-12 03:20:47,2025-03-13 11:59:11,2025-03-13 11:59:11,2.05,34.84,2.0
ticket_55a8226f-3e1f-46cc-ab52-cff2b8be016e,lan.ho82624@gmail.com ,Lan Hồ,Feature Usage Help,How to enable daily reminders?,I can't find where my streak or progress is displayed.,Normal,Closed,social_media,2025-03-12 10:51:33,2025-03-12 16:50:33,2025-03-13 02:26:45,2025-03-13 02:26:45,5.15,15.22,3.0
ticket_04e8bc0f-e079-41ef-ba1d-ce7f97e3231d,pham_quynh67375@gmail.com,Quỳnh Phạm,Feedback / Complaint,Support reply too slow,The interface looks old compared to other apps.,High,Closed,Chat,2025-03-12 13:14:04,2025-03-12 14:42:40,2025-03-12 19:02:16,2025-03-12 19:02:16,1.06,5.72,
ticket_2a81067a-a71b-4589-b6f5-b861c3eca1ad, pham_hung13317@gmail.com,Hùng Phạm,Feature Usage Help,Guide to create custom plan,I can't find where my streak or progress is displayed.,Urgent,Closed,social_media,2025-03-13 21:06:58,2025-03-14 01:37:46,2025-03-14 04:09:10,2025-03-14 04:09:10,4.48,6.77,
ticket_7263dca4-afc9-4e05-9dab-1eeb3073a8c8,huong.phan30078@gmail.com,Hương Phan,Feedback / Complaint,Content quality dropped recently,"Ads appear too frequently in free plan, very annoying.",High,Closed,Chat,2025-03-14 09:37:27,2025-03-15 00:26:15,2025-03-15 05:33:39,2025-03-15 05:33:39,14.78,19.22,4.0
ticket_3ea526ba-f144-442f-8e24-fcbc10080397,pham.nhi57100@gmail.com,Nhi Phạm,Performance / Speed,Sync takes minutes,App crashes every time I open a long workout session.,Normal,Solved,Email,2025-03-14 09:55:47,2025-03-14 15:18:06,2025-03-16 02:33:59,2025-03-16 02:33:59,4.67,40.57,2.0
ticket_cc8f351a-0cfc-4a59-b8ca-5c39bf7835dd, nhi_ho63208@gmail.com,Nhi Hồ,Performance / Speed,Sync takes minutes,App crashes every time I open a long workout session.,Normal,Solved,Email,2025-03-15 12:07:28,2025-03-15 18:55:37,2025-03-16 20:31:16,2025-03-16 20:31:16,6.7,31.93,2.0
ticket_288269c2-e2c5-4e84-882c-11ece8cd5c5f,le_anh85257@gmail.com,Anh Lê,Integration Errors,Strava import error,Tried connecting Google Calendar but fails with error 403.,Normal,Closed,Chat,2025-03-16 08:07:28,2025-03-16 17:36:16,2025-03-18 21:41:40,2025-03-18 21:41:40,8.88,60.62,
ticket_5d044dbf-f2f9-4248-a9b0-156de4b589cb,phuong.phan73260@gmail.com,Phương Phan,Feedback / Complaint,UI feels outdated,The interface looks old compared to other apps.,High,Closed,social_media,2025-03-16 12:17:51,2025-03-16 15:29:03,2025-03-17 00:03:39,2025-03-17 00:03:39,2.52,11.73,
ticket_125083b7-8091-4849-9ef2-2e151f67c9e2,nhi_dang22226@gmail.com,Nhi Đặng,Login & Authentication,How to change email on account,"Account got locked, can't log in even with correct password.",Low,Closed,Chat,2025-03-16 13:39:32,2025-03-16 15:51:44,2025-03-16 18:44:20,2025-03-16 18:44:20,1.27,4.83,3.0
ticket_72c651f6-9310-4830-9899-c01165342c17,phong.dang18623@gmail.com,Phong Đặng,Login & Authentication,2FA code always invalid,Sign in with Google button does nothing on Chrome.,High,Closed,Email,2025-03-16 15:33:38,2025-03-16 18:35:46,2025-03-16 20:38:14,2025-03-16 20:38:14,2.6,4.81,
ticket_ce107212-3bdd-434b-8b3a-841ea9885e5e,phong_tran77173_at_gmail.com,Phong Trần,Device / Compatibility,Not working on Galaxy S23,App force closes immediately on my iPhone with iOS 19.,Low,Closed,Chat,2025-03-16 18:49:05,2025-03-16 20:12:41,2025-03-18 10:13:41,2025-03-18 10:13:41,1.26,39.41,3.0
ticket_08f3d60a-261b-4039-a69e-0b9c4c9eeb9b,dang_huy30621@gmail.com,Huy Đặng,Device / Compatibility,Dark mode text unreadable,App force closes immediately on my iPhone with iOS 19.,High,Solved,Chat,2025-03-17 09:41:32,2025-03-17 18:45:56,2025-03-18 05:00:08,2025-03-18 05:00:08,8.99,18.71,3.0
ticket_389677b7-1a28-40ae-8602-17719829d4a8,quynh.nguyen81939@gmail.com,Quỳnh Nguyễn,Login & Authentication,Cannot reset password - no email received,2FA code keeps saying invalid though it's correct.,Low,Closed,Email,2025-03-17 17:55:17,2025-03-18 15:36:46,2025-03-18 16:36:46,2025-03-18 16:36:46,21.69,22.54,2.0
ticket_ed4588e9-8e80-4770-8f59-c8f814f744db,vy_nguyen73638@gmail.com,Vy Nguyễn,Billing & Payment Issues,Request refund for last month,I got charged $9.99 but still see free tier limits. Please fix and refund.,Normal,Closed,Email,2025-03-18 11:07:38,2025-03-19 03:12:44,2025-03-19 03:50:44,2025-03-19 03:50:44,15.29,15.79,2.0
ticket_387c9006-d9bc-432b-9795-f8c7b79bc193,ho_anh59117@gmail.com,Anh Hồ,Feature Usage Help,What does streak freeze mean?,Please tell me how to turn on daily push notifications.,Low,Closed,Web,2025-03-18 15:58:45,2025-03-18 20:47:45,2025-03-19 05:34:33,2025-03-19 05:34:33,4.15,12.63,3.0
ticket_122be6ac-aaf2-4b43-940f-5324e97795d2,dang_lan13196@gmail.com,Lan Đặng,Device / Compatibility,Not working on Galaxy S23,Doesn't open properly on Samsung Galaxy S23 Ultra.,Low,Closed,Chat,2025-03-18 18:43:42,2025-03-18 20:28:54,2025-03-19 23:49:18,2025-03-19 23:49:18,1.02,28.11,1.0
ticket_5a6687ef-62ac-4b68-ae36-4f6f71129e85,do.phuc82762@gmail.com,Phúc Đỗ,Device / Compatibility,UI broken in tablet mode,Doesn't open properly on Samsung Galaxy S23 Ultra.,Normal,Solved,Email,2025-03-19 03:25:04,2025-03-19 15:07:17,2025-03-20 12:18:52,2025-03-20 12:18:52,11.4,32.13,1.0
ticket_83922bc2-c8d2-419c-9da7-8ccf90a2403b,phong_dang17588@gmail.com,Phong Đặng,Device / Compatibility,App crashes on iOS 19,Dark mode makes text hard to read on Pixel phone.,Low,Solved,Email,2025-03-19 13:23:27,2025-03-25 18:55:26,2025-03-25 19:27:26,2025-03-25 19:27:26,149.02,149.52,
ticket_dde2b177-8ed2-4a46-8f51-5f88a93cac7b,nam_tran66985@gmail.com,Nam Trần,Device / Compatibility,UI broken in tablet mode,Dark mode makes text hard to read on Pixel phone.,High,Solved,Chat,2025-03-20 09:42:17,2025-03-20 12:55:05,2025-03-21 09:47:05,2025-03-21 09:47:05,2.33,23.43,4.0
ticket_2b1e4214-d1d7-410c-b168-5586eba60963,phong.nguyen28781@gmail.com,Phong Nguyễn,Device / Compatibility,Dark mode text unreadable,Dark mode makes text hard to read on Pixel phone.,Low,Solved,Chat,2025-03-20 11:13:23,2025-03-20 19:54:47,2025-03-21 18:01:11,2025-03-21 18:01:11,8.44,30.03,2.0
ticket_a6107ca5-9ffb-4ecf-a7c5-7a54eabcf1cb,dung_vu94630_at_gmail.com,Dung Vũ,Device / Compatibility,Incompatible with Android 15,Doesn't open properly on Samsung Galaxy S23 Ultra.,Normal,Closed,Web,2025-03-20 14:11:25,2025-03-21 00:25:25,2025-03-21 18:07:49,2025-03-21 18:07:49,9.9,27.19,3.0
ticket_9491d774-d841-4f18-ad1a-70e6a664cdf8,nam.le29084_at_gmail.com,Nam Lê,Feedback / Complaint,Missing dark mode,"Ads appear too frequently in free plan, very annoying.",Normal,Closed,Email,2025-03-21 21:19:59,2025-03-22 01:51:45,2025-03-22 20:48:47,2025-03-22 20:48:47,4.46,23.08,2.0
ticket_049e2701-2e1c-4af7-b4a1-a6070556481f,tran_phuong62074@gmail.com,Phương Trần,Feedback / Complaint,Support reply too slow,The interface looks old compared to other apps.,High,Solved,Email,2025-03-22 10:48:35,2025-03-26 16:46:15,2025-03-26 16:55:15,2025-03-26 16:55:15,101.16,101.66,1.0
ticket_c8966fab-cf70-4510-a106-72cd63246305,phong.le86299@gmail.com,Phong Lê,Device / Compatibility,App crashes on iOS 19,Dark mode makes text hard to read on Pixel phone.,Low,Solved,social_media,2025-03-22 15:24:10,2025-03-23 04:28:58,2025-03-23 21:25:34,2025-03-23 21:25:34,13.08,29.79,2.0
ticket_fb7071d4-c42e-4ed1-9113-609b0ecf04d7,anh_tran96999@gmail.com,Anh Trần,Performance / Speed,High battery usage,Videos keep buffering even on fast internet.,Low,Closed,Web,2025-03-23 10:56:22,2025-03-23 13:09:10,2025-03-24 12:45:58,2025-03-24 12:45:58,1.28,24.91,
ticket_7c7ea8c9-c9ee-41b4-b0ee-ef3711ead3ad,QUAN_TRAN64522@GMAIL.COM,Quân Trần,Performance / Speed,Sync takes minutes,Videos keep buffering even on fast internet.,Low,Pending,Web,2025-03-24 05:57:17,,,2025-03-26 02:57:17,,,
ticket_57a639f1-c22d-450b-819b-dbac39466bd0,do.nhi80187@gmail.com,Nhi Đỗ,Billing & Payment Issues,Request refund for last month,Want to cancel and get partial refund for unused period.,Low,Closed,Chat,2025-03-24 11:06:23,2025-03-24 13:18:47,2025-03-24 20:27:59,2025-03-24 20:27:59,1.29,9.06,2.0
ticket_d248bdf6-adcd-46d8-b823-daa2ef884c43,phan_nam46391@gmail.com,Nam Phan,Login & Authentication,Google/Apple login not working,Tried reset password but no email arrived in inbox or spam.,Normal,Solved,Email,2025-03-24 14:44:12,2025-03-24 17:47:54,2025-03-24 19:03:48,2025-03-24 19:03:48,2.5,3.51,4.0
ticket_7404dcc7-f09f-41bc-b179-9dcefea2e31d,tuan.tran63334@gmail.com,Tuấn Trần,Feedback / Complaint,Support reply too slow,Updates lately made content less helpful than before.,Normal,Closed,Chat,2025-03-24 16:25:51,2025-03-24 17:41:27,2025-03-25 18:55:51,2025-03-25 18:55:51,0.51,25.95,
ticket_f29290f1-f060-4c97-a45d-2b13214f6db8,phuong.nguyen18112@gmail.com,Phương Nguyễn,Feedback / Complaint,Missing dark mode,"Ads appear too frequently in free plan, very annoying.",High,Closed,social_media,2025-03-25 02:35:04,2025-03-25 05:37:40,2025-03-25 08:41:52,2025-03-25 08:41:52,2.16,6.08,2.0
ticket_4cd6da4f-53a3-486c-9200-593b1d8ae5b8,khoa.pham19835@gmail.com,Khoa Phạm,Billing & Payment Issues,Request refund for last month,Saw double charge on statement this month.,High,Solved,Email,2025-03-25 08:28:49,2025-03-29 06:20:26,2025-03-29 06:42:26,2025-03-29 06:42:26,93.06,93.56,
ticket_9acb0650-30bf-4f51-94a7-5c9b4bce3d8a,phuc_phan23819@gmail.com,Phúc Phan,Login & Authentication,Account locked after failed attempts,Sign in with Google button does nothing on Chrome.,Low,Closed,Chat,2025-03-25 10:42:23,2025-03-25 11:52:23,2025-03-25 16:31:23,2025-03-25 16:31:23,1.0,5.5,3.0
ticket_1405fc20-9305-421f-acb7-f86dcaea4832,nguyen.khoa28081@gmail.com,Khoa Nguyễn,Device / Compatibility,UI broken in tablet mode,Dark mode makes text hard to read on Pixel phone.,Normal,Solved,Web,2025-03-25 17:04:47,2025-03-26 02:26:11,2025-03-26 21:16:11,2025-03-26 21:16:11,8.44,27.49,3.0
ticket_4a7305aa-7837-43c8-b346-4e741a035c5a,vy_le31984@gmail.com,Vy Lê,Billing & Payment Issues,Request refund for last month,I got charged $9.99 but still see free tier limits. Please fix and refund.,Low,Closed,social_media,2025-03-26 02:23:08,2025-03-26 11:30:20,2025-03-26 12:39:08,2025-03-26 12:39:08,8.97,9.5,3.0
ticket_7eaf8af0-4333-4846-9e66-f7807d4bcdec,phong.nguyen28781@gmail.com,Phong Nguyễn,Login & Authentication,How to change email on account,Sign in with Google button does nothing on Chrome.,Normal,Open,social_media,2025-03-26 11:09:02,,,2025-03-28 20:09:02,,,
ticket_e28e27b9-5a53-4e94-8602-1279d1d568f1,nguyen_lan49051@gmail.com,Lan Nguyễn,Login & Authentication,How to change email on account,"Account got locked, can't log in even with correct password.",Normal,Closed,Chat,2025-03-26 12:25:38,2025-03-27 01:19:02,2025-03-27 02:17:02,2025-03-27 02:17:02,12.89,13.39,3.0
ticket_c2e2fcfc-2e2f-4625-92f4-6fa0aa3a0ff7,linh.le42723@gmail.com,Linh Lê,Feature Usage Help,Guide to create custom plan,How do I download all my workout history as CSV?,Urgent,Solved,Web,2025-03-28 01:21:08,2025-03-28 11:51:56,2025-03-28 14:12:56,2025-03-28 14:12:56,9.68,12.58,4.0
ticket_5c03c760-bfbc-4418-8431-253c280413c1,le.ngan74273@gmail.com,Ngân Lê,Login & Authentication,Account locked after failed attempts,Sign in with Google button does nothing on Chrome.,Urgent,Open,Web,2025-03-29 08:49:37,2025-03-29 12:49:37,,2025-03-29 10:49:37,4.0,,
ticket_e58668ec-1a26-4744-81ac-813f9a51b0dd,tran.phuong78701@gmail.com,Phương Trần,Device / Compatibility,Incompatible with Android 15,Dark mode makes text hard to read on Pixel phone.,Normal,Closed,Email,2025-03-29 09:15:17,2025-04-01 02:12:25,2025-04-01 02:45:25,2025-04-01 02:45:25,64.27,64.77,
ticket_573f57c9-6651-465f-9120-71a30ae7d527,vu.thao22402@gmail.com,Thảo Vũ,Integration Errors,Strava import error,Strava activities not showing up in the app.,Normal,Closed,Chat,2025-03-30 15:46:53,2025-03-30 21:35:41,2025-04-01 07:42:17,2025-04-01 07:42:17,5.18,39.04,2.0
ticket_25256441-dc9d-41da-9f24-5896e5706792,vy.nguyen99520@gmail.com,Vy Nguyễn,Device / Compatibility,App crashes on iOS 19,Dark mode makes text hard to read on Pixel phone.,High,Solved,social_media,2025-03-30 18:43:55,2025-03-31 05:28:31,2025-04-01 15:45:43,2025-04-01 15:45:43,10.31,44.58,3.0
ticket_32d1ff7c-9805-4ca8-a126-d5895b097d62,dung_dang11438@gmail.com,Dung Đặng,Feature Usage Help,What does streak freeze mean?,Please tell me how to turn on daily push notifications.,High,New,Chat,2025-03-30 19:49:29,,,2025-04-01 05:49:29,,,
ticket_00fb31b9-def7-4851-8284-3d0b1ac30c06,ho_ngan41226@gmail.com,Ngân Hồ,Integration Errors,Strava import error,Strava activities not showing up in the app.,High,Closed,social_media,2025-03-30 22:50:56,2025-03-31 00:55:56,2025-04-01 15:56:20,2025-04-01 15:56:20,1.3,40.69,
ticket_1771e448-2e17-4bfa-a4d6-ff9914afb20a,phan_thao25459@gmail.com,Thảo Phan,Performance / Speed,Frequent crashes on Android,Main screen takes 15+ seconds to load on WiFi.,Low,Open,social_media,2025-03-31 15:48:09,,,2025-04-01 01:48:09,,,
ticket_7d7f01a5-a3d5-48b2-a930-9eea6168fce0,HO_THAO93007@GMAIL.COM,Thảo Hồ,Billing & Payment Issues,Payment failed but money deducted,Saw double charge on statement this month.,Urgent,New,Chat,2025-04-01 00:01:30,,,2025-04-01 21:01:30,,,
ticket_a6655c2c-bb03-49be-b9ae-22bcd51a83da,quan_vu95315@gmail.com,Quân Vũ,Feedback / Complaint,Too many ads in free version,The interface looks old compared to other apps.,Normal,Solved,Chat,2025-04-01 09:59:28,2025-04-01 12:30:52,2025-04-02 01:24:16,2025-04-02 01:24:16,2.44,15.13,3.0
ticket_60eed46c-4c2d-431b-b3f2-4db6c89434a0,anh.dang65144@gmail.com,Anh Đặng,Device / Compatibility,UI broken in tablet mode,Dark mode makes text hard to read on Pixel phone.,High,Closed,Email,2025-04-01 10:15:51,2025-04-01 12:49:17,2025-04-03 02:20:15,2025-04-03 02:20:15,1.92,39.44,3.0
